SubscriptionMonth,Country,TrackName,total_subscriptions,avg_progression,diploma_rate,estimated_revenue,churn_rate
2024-01,Senegal,Data Scientist Bootcamp*,7,70.52,28.57,840.0,28.57
2024-01,Senegal,Front End Developer - React JS Certified,3,61.43,0.0,300.0,33.33
2024-01,Senegal,Graphic Design - Adobe Certified*,15,97.07,60.0,1500.0,0.0
2024-01,Senegal,Introduction to Business Intelligence,3,100.0,66.67,300.0,0.0
2024-01,Senegal,Performance Marketing - Meta Certified,8,80.94,50.0,800.0,25.0
2024-01,Senegal,Python Essentials*,14,79.71,42.86,1400.0,21.43
2024-01,Senegal,Social Media Marketing Essentials*,23,91.73,82.61,2300.0,8.7
2024-01,Senegal,Software Developer Bootcamp*,14,89.4,78.57,1400.0,14.29
2024-01,Senegal,The Data Science Bootcamp,3,66.67,66.67,300.0,33.33
2024-01,Senegal,The Ultimate Design Bootcamp,8,97.72,87.5,800.0,0.0
2024-01,Senegal,UX & UI Design*,3,98.26,100.0,300.0,0.0
2024-01,Senegal,Web Development Essentials*,37,74.47,48.65,3700.0,27.03
2024-01,Tunisia,Cybersecurity - Comptia Security + Certified,16,55.58,18.75,1600.0,50.0
2024-01,Tunisia,Data Analytics - Microsoft Power BI Certified*,35,77.61,62.86,3500.0,22.86
2024-01,Tunisia,Data Scientist Bootcamp*,7,91.7,85.71,840.0,14.29
2024-01,Tunisia,Front End Developer - React JS Certified,8,99.17,100.0,800.0,0.0
2024-01,Tunisia,Graphic Design - Adobe Certified*,11,98.91,100.0,1100.0,0.0
2024-01,Tunisia,Performance Marketing - Meta Certified,23,86.99,78.26,2300.0,17.39
2024-01,Tunisia,Python Essentials*,30,85.73,80.0,3000.0,20.0
2024-01,Tunisia,Scratch & App Inventor For kids,12,100.0,100.0,1200.0,0.0
2024-01,Tunisia,Social Media Marketing Essentials*,20,93.54,80.0,2000.0,5.0
2024-01,Tunisia,Software Developer Bootcamp*,44,93.35,84.09,4400.0,4.55
2024-01,Tunisia,Software Testing - ISTQB Certified*,16,89.47,93.75,1600.0,6.25
2024-01,Tunisia,The Full-Stack JS Bootcamp,5,90.8,80.0,500.0,0.0
2024-01,Tunisia,UX & UI Design*,11,60.91,54.55,1100.0,45.45
2024-01,Tunisia,Web Development Essentials*,21,75.15,66.67,2100.0,23.81
2024-02,Algeria,Cybersecurity - Comptia Security + Certified,4,98.9,75.0,400.0,0.0
2024-02,Algeria,Data Analytics - Microsoft Power BI Certified*,4,81.86,75.0,400.0,25.0
2024-02,Algeria,Data Scientist Bootcamp*,3,99.72,100.0,300.0,0.0
2024-02,Algeria,Graphic Design - Adobe Certified*,6,98.66,83.33,600.0,0.0
2024-02,Algeria,Performance Marketing - Meta Certified,4,76.74,75.0,400.0,25.0
2024-02,Algeria,Software Developer Bootcamp*,8,88.91,75.0,800.0,0.0
2024-02,Algeria,UX & UI Design*,3,83.11,66.67,300.0,33.33
2024-02,Côte d'Ivoire,Graphic Design - Adobe Certified*,4,71.75,0.0,400.0,25.0
2024-02,Côte d'Ivoire,The FullStack JS Bootcamp - FR,1,100.0,0.0,100.0,0.0
2024-02,Egypt,The Full-Stack JS Bootcamp,2,39.26,0.0,200.0,50.0
2024-02,Kenya,Performance Marketing - Meta Certified,2,100.0,100.0,200.0,0.0
2024-02,Kenya,UX & UI Design*,3,77.33,66.67,300.0,33.33
2024-02,Morocco,Advanced digital marketing: E-commerce & SEO,2,58.93,50.0,200.0,50.0
2024-02,Morocco,Data Analytics - Microsoft Power BI Certified*,3,100.0,100.0,300.0,0.0
2024-02,Morocco,UX & UI Design*,2,100.0,100.0,200.0,0.0
2024-02,Morocco,Web Development Essentials*,3,98.33,100.0,300.0,0.0
2024-02,Nigeria,Coding With Python,2,100.0,100.0,200.0,0.0
2024-02,Nigeria,Cybersecurity - Comptia Security + Certified,4,99.63,100.0,400.0,0.0
2024-02,Nigeria,Data Analytics - Microsoft Power BI Certified*,7,100.0,100.0,700.0,0.0
2024-02,Senegal,Cybersecurity - Comptia Security + Certified,15,87.99,80.0,1500.0,13.33
2024-02,Senegal,Data Scientist Bootcamp*,6,97.07,100.0,600.0,0.0
2024-02,Senegal,Graphic Design - Adobe Certified*,5,61.34,60.0,500.0,40.0
2024-02,Senegal,Performance Marketing - Meta Certified,4,73.42,25.0,400.0,25.0
2024-02,Senegal,Social Media Marketing Essentials*,2,5.88,0.0,200.0,100.0
2024-02,Senegal,Software Developer Bootcamp*,2,13.3,0.0,240.0,100.0
2024-02,Tunisia,Data Analytics - Microsoft Power BI Certified*,5,98.77,100.0,500.0,0.0
2024-02,Tunisia,Data Scientist Bootcamp*,12,91.94,91.67,1440.0,8.33
2024-02,Tunisia,Front End Developer - React JS Certified,2,98.34,100.0,200.0,0.0
2024-02,Tunisia,Python Essentials*,3,98.06,66.67,300.0,0.0
2024-02,Tunisia,Software Developer Bootcamp*,13,72.2,46.15,1560.0,30.77
2024-02,Tunisia,Software Testing - ISTQB Certified*,4,100.0,100.0,400.0,0.0
2024-02,Tunisia,Web Development Essentials*,2,100.0,100.0,200.0,0.0
2024-03,Algeria,Data Analytics - Microsoft Power BI Certified*,7,92.39,28.57,700.0,0.0
2024-03,Algeria,Graphic Design - Adobe Certified*,3,64.1,33.33,300.0,33.33
2024-03,Algeria,Performance Marketing - Meta Certified,2,100.0,100.0,200.0,0.0
2024-03,Algeria,Software Developer Bootcamp*,4,100.0,100.0,400.0,0.0
2024-03,Algeria,Software Testing - ISTQB Certified*,10,74.74,0.0,1000.0,30.0
2024-03,Algeria,UX & UI Design*,3,100.0,100.0,300.0,0.0
2024-03,Algeria,Web Development Essentials*,4,100.0,100.0,400.0,0.0
2024-03,Côte d'Ivoire,Cybersecurity - Comptia Security + Certified,6,44.89,33.33,600.0,66.67
2024-03,Côte d'Ivoire,Data Analytics - Microsoft Power BI Certified*,7,83.88,71.43,700.0,14.29
2024-03,Côte d'Ivoire,Data Scientist Bootcamp*,15,76.07,66.67,1660.0,33.33
2024-03,Côte d'Ivoire,Graphic Design - Adobe Certified*,18,81.38,72.22,1800.0,22.22
2024-03,Côte d'Ivoire,Performance Marketing - Meta Certified,8,86.32,37.5,800.0,12.5
2024-03,Côte d'Ivoire,Python Essentials*,11,64.63,27.27,1100.0,45.45
2024-03,Côte d'Ivoire,Social Media Marketing Essentials*,18,61.82,27.78,1800.0,44.44
2024-03,Côte d'Ivoire,Software Developer Bootcamp*,10,75.18,50.0,1000.0,20.0
2024-03,Côte d'Ivoire,UX & UI Design*,6,90.46,83.33,600.0,16.67
2024-03,Côte d'Ivoire,Web Development Essentials*,13,58.92,38.46,1300.0,38.46
2024-03,Egypt,Cybersecurity - Comptia Security + Certified,1,0.0,0.0,100.0,100.0
2024-03,Egypt,Data Analytics - Microsoft Power BI Certified*,3,13.3,0.0,300.0,100.0
2024-03,Egypt,Data Scientist Bootcamp*,5,11.13,0.0,600.0,100.0
2024-03,Egypt,Graphic Design - Adobe Certified*,4,76.89,75.0,400.0,25.0
2024-03,Egypt,Social Media Marketing Essentials*,4,47.55,25.0,400.0,75.0
2024-03,Egypt,Software Developer Bootcamp*,1,0.0,0.0,100.0,100.0
2024-03,Egypt,The Full-Stack JS Bootcamp,1,59.82,0.0,100.0,0.0
2024-03,Egypt,UX & UI Design*,7,52.0,0.0,700.0,57.14
2024-03,Egypt,Web Development Essentials*,4,31.51,0.0,400.0,50.0
2024-03,Kenya,Data Scientist Bootcamp*,11,82.42,81.82,1160.0,18.18
2024-03,Kenya,Python Essentials*,3,33.33,33.33,300.0,66.67
2024-03,Kenya,Software Developer Bootcamp*,11,93.48,72.73,1100.0,9.09
2024-03,Kenya,Web Development Essentials*,5,92.17,60.0,500.0,0.0
2024-03,Morocco,Cybersecurity - Comptia Security + Certified,4,32.25,0.0,400.0,100.0
2024-03,Morocco,Data Analytics - Microsoft Power BI Certified*,8,98.68,62.5,800.0,0.0
2024-03,Morocco,Data Scientist Bootcamp*,3,99.72,100.0,360.0,0.0
2024-03,Morocco,Graphic Design - Adobe Certified*,5,59.75,60.0,500.0,40.0
2024-03,Morocco,Performance Marketing - Meta Certified,3,100.0,100.0,300.0,0.0
2024-03,Morocco,Python Essentials*,9,84.56,77.78,900.0,22.22
2024-03,Morocco,Social Media Marketing Essentials*,1,100.0,100.0,100.0,0.0
2024-03,Morocco,Software Developer Bootcamp*,5,64.4,60.0,500.0,40.0
2024-03,Morocco,Web Development Essentials*,5,80.0,80.0,500.0,20.0
2024-03,Nigeria,Cybersecurity - Comptia Security + Certified,76,89.89,84.21,7600.0,11.84
2024-03,Nigeria,Data Analytics - Microsoft Power BI Certified*,15,85.35,80.0,1500.0,20.0
2024-03,Nigeria,Data Scientist Bootcamp*,14,99.72,100.0,1460.0,0.0
2024-03,Nigeria,Graphic Design - Adobe Certified*,2,65.12,50.0,200.0,50.0
2024-03,Nigeria,Performance Marketing - Meta Certified,7,92.86,85.71,700.0,0.0
2024-03,Nigeria,Software Developer Bootcamp*,41,99.24,97.56,4100.0,0.0
2024-03,Nigeria,Software Testing - ISTQB Certified*,4,93.3,100.0,400.0,0.0
2024-03,Nigeria,The Full-Stack JS Bootcamp,1,57.06,0.0,100.0,0.0
2024-03,Nigeria,UX & UI Design*,19,88.89,84.21,1900.0,15.79
2024-03,Nigeria,Web Development Essentials*,18,70.22,66.67,1800.0,33.33
2024-03,Senegal,Cybersecurity - Comptia Security + Certified,10,99.12,100.0,1000.0,0.0
2024-03,Senegal,Data Analytics - Microsoft Power BI Certified*,14,83.3,28.57,1400.0,7.14
2024-03,Senegal,Data Scientist Bootcamp*,9,88.71,88.89,900.0,11.11
2024-03,Senegal,Graphic Design - Adobe Certified*,4,76.76,50.0,400.0,25.0
2024-03,Senegal,Performance Marketing - Meta Certified,8,95.35,62.5,800.0,0.0
2024-03,Senegal,Python Essentials*,3,100.0,66.67,300.0,0.0
2024-03,Senegal,Social Media Marketing Essentials*,21,77.1,71.43,2100.0,28.57
2024-03,Senegal,Software Developer Bootcamp*,9,92.23,77.78,900.0,11.11
2024-03,Senegal,UX & UI Design*,2,100.0,100.0,200.0,0.0
2024-03,Senegal,Web Development Essentials*,8,77.37,25.0,800.0,25.0
2024-03,Tunisia,Cybersecurity - Comptia Security + Certified,5,99.12,100.0,500.0,0.0
2024-03,Tunisia,Data Analytics - Microsoft Power BI Certified*,21,93.43,90.48,2100.0,4.76
2024-03,Tunisia,Data Scientist Bootcamp*,13,92.62,92.31,1520.0,7.69
2024-03,Tunisia,Front End Developer - React JS Certified,12,99.38,83.33,1200.0,0.0
2024-03,Tunisia,Graphic Design - Adobe Certified*,27,84.49,74.07,2700.0,14.81
2024-03,Tunisia,Introduction to Node.js,6,98.88,100.0,600.0,0.0
2024-03,Tunisia,Performance Marketing - Meta Certified,13,87.79,76.92,1300.0,15.38
2024-03,Tunisia,Python Essentials*,12,92.51,91.67,1200.0,8.33
2024-03,Tunisia,Scratch & App Inventor For kids,4,100.0,100.0,400.0,0.0
2024-03,Tunisia,Social Media Marketing Essentials*,22,76.24,63.64,2200.0,27.27
2024-03,Tunisia,Software Developer Bootcamp*,33,91.79,69.7,3500.0,9.09
2024-03,Tunisia,Software Testing - ISTQB Certified*,17,86.13,94.12,1700.0,5.88
2024-03,Tunisia,Unity for Kids,3,0.0,0.0,300.0,100.0
2024-03,Tunisia,Web Development Essentials*,21,99.52,100.0,2100.0,0.0
2024-04,Algeria,Python Essentials*,4,82.54,75.0,400.0,25.0
2024-04,Algeria,Software testing - ISTQB Certified V4 - FR,10,23.66,20.0,1000.0,80.0
2024-04,Algeria,Web Development Essentials*,4,100.0,75.0,400.0,0.0
2024-04,Côte d'Ivoire,Cybersecurity - Comptia Security + Certified,6,80.01,50.0,600.0,16.67
2024-04,Côte d'Ivoire,Data Analytics - Microsoft Power BI Certified*,8,54.11,25.0,800.0,62.5
2024-04,Côte d'Ivoire,Front End Developer - React JS Certified,2,16.58,0.0,200.0,100.0
2024-04,Côte d'Ivoire,Graphic Design - Adobe Certified*,5,62.86,40.0,500.0,40.0
2024-04,Côte d'Ivoire,Performance Marketing - Meta Certified,1,100.0,100.0,100.0,0.0
2024-04,Côte d'Ivoire,Python Essentials*,8,89.34,75.0,800.0,12.5
2024-04,Côte d'Ivoire,Social Media Marketing Essentials*,9,90.85,77.78,900.0,11.11
2024-04,Côte d'Ivoire,Web Development Essentials*,8,84.88,62.5,800.0,12.5
2024-04,Egypt,Performance Marketing - Meta Certified,1,19.77,0.0,100.0,100.0
2024-04,Egypt,Python Essentials*,3,19.77,0.0,300.0,100.0
2024-04,Egypt,Social Media Marketing Essentials*,3,30.42,0.0,300.0,100.0
2024-04,Egypt,Software Testing - ISTQB Certified*,3,33.33,33.33,300.0,66.67
2024-04,Kenya,Data Scientist Bootcamp*,7,99.8,100.0,700.0,0.0
2024-04,Kenya,Python Essentials*,2,100.0,100.0,200.0,0.0
2024-04,Morocco,Cybersecurity - Comptia Security + Certified,6,78.32,66.67,600.0,16.67
2024-04,Morocco,Data Analytics - Microsoft Power BI Certified*,4,99.06,100.0,400.0,0.0
2024-04,Morocco,Performance Marketing - Meta Certified,9,57.54,33.33,900.0,44.44
2024-04,Morocco,Python Essentials*,2,100.0,100.0,200.0,0.0
2024-04,Morocco,Social Media Marketing Essentials*,8,96.08,87.5,800.0,0.0
2024-04,Morocco,Software Developer Bootcamp*,1,44.08,0.0,100.0,100.0
2024-04,Morocco,Web Development Essentials*,4,81.94,75.0,400.0,25.0
2024-04,Nigeria,Cybersecurity - Comptia Security + Certified,98,84.68,75.51,9800.0,18.37
2024-04,Nigeria,Data Analytics - Microsoft Power BI Certified*,15,94.03,86.67,1500.0,6.67
2024-04,Nigeria,Data Scientist Bootcamp*,18,94.61,88.89,1840.0,5.56
2024-04,Nigeria,Python Essentials*,4,66.54,50.0,400.0,50.0
2024-04,Nigeria,Software Developer Bootcamp*,63,92.01,87.3,6380.0,9.52
2024-04,Nigeria,Software Testing - ISTQB Certified*,8,87.34,87.5,800.0,0.0
2024-04,Nigeria,UX & UI Design*,22,88.98,72.73,2200.0,13.64
2024-04,Nigeria,Web Development Essentials*,10,76.39,70.0,1000.0,30.0
2024-04,Senegal,Cybersecurity - Comptia Security + Certified,10,92.24,80.0,1000.0,10.0
2024-04,Senegal,Data Analytics - Microsoft Power BI Certified*,5,89.8,20.0,500.0,0.0
2024-04,Senegal,Data Scientist Bootcamp*,5,99.27,100.0,500.0,0.0
2024-04,Senegal,Graphic Design - Adobe Certified*,2,60.0,0.0,200.0,50.0
2024-04,Senegal,Performance Marketing - Meta Certified,4,100.0,100.0,400.0,0.0
2024-04,Senegal,Python Essentials*,5,79.86,80.0,500.0,20.0
2024-04,Senegal,Social Media Marketing Essentials*,10,71.98,60.0,1000.0,40.0
2024-04,Senegal,Software Developer Bootcamp*,7,81.28,14.29,780.0,14.29
2024-04,Senegal,UX & UI Design*,2,57.34,50.0,200.0,50.0
2024-04,Senegal,Web Development Essentials*,17,83.3,47.06,1700.0,11.76
2024-04,Tunisia,Cybersecurity - Comptia Security + Certified,20,66.05,55.0,2000.0,40.0
2024-04,Tunisia,Data Analytics - Microsoft Power BI Certified*,9,77.42,44.44,900.0,22.22
2024-04,Tunisia,Data Scientist Bootcamp*,12,55.92,33.33,1320.0,50.0
2024-04,Tunisia,Graphic Design - Adobe Certified*,2,100.0,100.0,200.0,0.0
2024-04,Tunisia,Performance Marketing - Meta Certified,11,65.87,45.45,1100.0,36.36
2024-04,Tunisia,Python Essentials*,9,99.67,100.0,900.0,0.0
2024-04,Tunisia,Social Media Marketing Essentials*,6,100.0,100.0,600.0,0.0
2024-04,Tunisia,Software Developer Bootcamp*,15,89.23,73.33,1580.0,6.67
2024-04,Tunisia,Software Testing - ISTQB Certified*,2,98.15,0.0,200.0,0.0
2024-04,Tunisia,UX & UI Design*,3,100.0,100.0,300.0,0.0
2024-04,Tunisia,Unity for Kids,12,96.76,75.0,1200.0,0.0
2024-04,Tunisia,Web Development Essentials*,5,84.88,80.0,500.0,20.0
2024-05,Algeria,Cyber Security Bootcamp: Certified CompTIA Security+ 701*,4,100.0,100.0,400.0,0.0
2024-05,Algeria,Data Analytics - Microsoft Power BI Certified*,3,78.19,33.33,300.0,33.33
2024-05,Algeria,Digital Marketing Course - Meta Certified,5,32.15,20.0,500.0,80.0
2024-05,Algeria,Front End Developer - React JS Certified,3,72.78,66.67,300.0,33.33
2024-05,Algeria,Software Developer Bootcamp*,4,100.0,100.0,400.0,0.0
2024-05,Côte d'Ivoire,Data Scientist Bootcamp*,4,25.09,0.0,480.0,100.0
2024-05,Côte d'Ivoire,Digital Marketing Course - Meta Certified,4,100.0,75.0,400.0,0.0
2024-05,Côte d'Ivoire,Formation bureautique,2,100.0,100.0,200.0,0.0
2024-05,Côte d'Ivoire,Front End Developer - React JS Certified,1,8.33,0.0,100.0,100.0
2024-05,Côte d'Ivoire,Graphic Design - Adobe Certified*,3,76.34,66.67,300.0,33.33
2024-05,Côte d'Ivoire,Python Essentials*,9,56.27,44.44,900.0,55.56
2024-05,Côte d'Ivoire,Social Media Marketing Essentials*,8,95.67,75.0,800.0,0.0
2024-05,Côte d'Ivoire,Web Development Essentials*,8,84.46,75.0,800.0,12.5
2024-05,Egypt,Python Essentials*,2,36.23,0.0,200.0,100.0
2024-05,Egypt,Software Testing - ISTQB Certified*,1,1.85,0.0,100.0,100.0
2024-05,Egypt,The Data Science Bootcamp,3,85.47,0.0,300.0,0.0
2024-05,Egypt,UX & UI Design*,1,0.0,0.0,100.0,100.0
2024-05,Kenya,Data Scientist Bootcamp*,15,92.68,86.67,1600.0,6.67
2024-05,Kenya,Digital Marketing Course - Meta Certified,1,25.0,0.0,100.0,100.0
2024-05,Kenya,Software Developer Bootcamp*,11,88.77,81.82,1140.0,18.18
2024-05,Morocco,Data Analytics - Microsoft Power BI Certified*,3,68.89,66.67,300.0,33.33
2024-05,Morocco,Digital Marketing Course - Meta Certified,4,100.0,100.0,400.0,0.0
2024-05,Morocco,Front End Developer - React JS Certified,2,100.0,0.0,200.0,0.0
2024-05,Morocco,Python Essentials*,4,100.0,100.0,400.0,0.0
2024-05,Morocco,Social Media Marketing Essentials*,7,87.33,85.71,700.0,14.29
2024-05,Morocco,Web Development Essentials*,9,83.61,77.78,900.0,22.22
2024-05,Nigeria,Cyber Security Bootcamp: Certified CompTIA Security+ 701*,58,86.32,81.03,5800.0,15.52
2024-05,Nigeria,Data Analytics - Microsoft Power BI Certified*,9,97.42,100.0,900.0,0.0
2024-05,Nigeria,Data Scientist Bootcamp*,34,92.42,91.18,3460.0,8.82
2024-05,Nigeria,Digital Marketing Course - Meta Certified,4,75.0,75.0,400.0,25.0
2024-05,Nigeria,Front End Developer - React JS Certified,8,88.75,87.5,800.0,12.5
2024-05,Nigeria,Graphic Design - Adobe Certified*,6,85.92,83.33,600.0,16.67
2024-05,Nigeria,Python Essentials*,6,87.18,83.33,600.0,16.67
2024-05,Nigeria,Social Media Marketing Essentials*,9,90.2,77.78,900.0,11.11
2024-05,Nigeria,Software Developer Bootcamp*,50,88.52,84.0,5000.0,12.0
2024-05,Nigeria,Software Testing - ISTQB Certified*,3,100.0,100.0,300.0,0.0
2024-05,Nigeria,UX & UI Design*,27,91.77,81.48,2700.0,11.11
2024-05,Nigeria,Web Development Essentials*,13,91.13,76.92,1300.0,7.69
2024-05,Senegal,Cyber Security Bootcamp: Certified CompTIA Security+ 701*,6,95.27,33.33,600.0,0.0
2024-05,Senegal,Data Analytics - Microsoft Power BI Certified*,9,85.83,44.44,900.0,11.11
2024-05,Senegal,Data Scientist Bootcamp*,5,55.17,40.0,500.0,60.0
2024-05,Senegal,Digital Marketing Course - Meta Certified,11,68.97,45.45,1100.0,36.36
2024-05,Senegal,Front End Developer - React JS Certified,3,98.89,100.0,300.0,0.0
2024-05,Senegal,Python Essentials*,5,65.67,60.0,500.0,40.0
2024-05,Senegal,Social Media Marketing Essentials*,7,88.8,85.71,700.0,14.29
2024-05,Senegal,Software Developer Bootcamp*,5,79.92,40.0,500.0,20.0
2024-05,Senegal,Web Development Essentials*,16,92.57,75.0,1600.0,12.5
2024-05,Tunisia,Cyber Security Bootcamp: Certified CompTIA Security+ 701*,7,59.64,57.14,700.0,42.86
2024-05,Tunisia,Data Analytics - Microsoft Power BI Certified*,10,72.46,60.0,1000.0,30.0
2024-05,Tunisia,Data Scientist Bootcamp*,9,85.76,55.56,1040.0,11.11
2024-05,Tunisia,Digital Marketing Course - Meta Certified,3,100.0,100.0,300.0,0.0
2024-05,Tunisia,Front End Developer - React JS Certified,3,98.89,100.0,300.0,0.0
2024-05,Tunisia,Python Essentials*,4,79.44,50.0,400.0,25.0
2024-05,Tunisia,Social Media Marketing Essentials*,8,64.07,37.5,800.0,37.5
2024-05,Tunisia,Software Developer Bootcamp*,28,81.68,75.0,2920.0,25.0
2024-05,Tunisia,Software Testing - ISTQB Certified*,26,95.5,96.15,2600.0,0.0
2024-05,Tunisia,Web Development Essentials*,8,81.2,50.0,800.0,25.0
2024-06,Algeria,Data Analytics - Microsoft Power BI Certified*,4,89.99,50.0,400.0,0.0
2024-06,Algeria,Python Essentials*,4,100.0,100.0,400.0,0.0
2024-06,Algeria,Web Development Essentials*,3,100.0,100.0,300.0,0.0
2024-06,Côte d'Ivoire,Cyber Security Bootcamp: Certified CompTIA Security+ 701*,3,93.69,100.0,300.0,0.0
2024-06,Côte d'Ivoire,Data Analytics - Microsoft Power BI Certified*,11,60.82,18.18,1100.0,36.36
2024-06,Côte d'Ivoire,Data Scientist Bootcamp*,3,99.44,100.0,300.0,0.0
2024-06,Côte d'Ivoire,Digital Marketing Course - Meta Certified,5,59.11,0.0,500.0,40.0
2024-06,Côte d'Ivoire,Front End Developer - React JS Certified,2,80.3,50.0,200.0,0.0
2024-06,Côte d'Ivoire,Python Essentials*,19,58.64,31.58,1900.0,52.63
2024-06,Côte d'Ivoire,Social Media Marketing Essentials*,6,84.94,66.67,600.0,16.67
2024-06,Côte d'Ivoire,Software Developer Bootcamp*,3,49.36,33.33,360.0,66.67
2024-06,Côte d'Ivoire,Web Development Essentials*,17,68.91,17.65,1700.0,41.18
2024-06,Egypt,Cybersecurity - Comptia Security + Certified,2,60.45,0.0,200.0,50.0
2024-06,Egypt,Data Analytics - Microsoft Power BI Certified*,2,53.45,0.0,200.0,50.0
2024-06,Egypt,Performance Marketing - Meta Certified,3,84.11,33.33,300.0,0.0
2024-06,Egypt,UX & UI Design*,3,99.57,0.0,300.0,0.0
2024-06,Kenya,Web Development Essentials*,7,82.77,71.43,700.0,14.29
2024-06,Morocco,Introduction to Web Development  -  Junior Tech Academy,2,100.0,100.0,200.0,0.0
2024-06,Morocco,Python Essentials*,6,100.0,100.0,600.0,0.0
2024-06,Morocco,Social Media Marketing Essentials*,9,79.83,66.67,900.0,11.11
2024-06,Morocco,Web Development Essentials*,3,98.33,100.0,300.0,0.0
2024-06,Nigeria,Cyber Security Bootcamp: Certified CompTIA Security+ 701*,40,87.32,85.0,4000.0,12.5
2024-06,Nigeria,Data Analytics - Microsoft Power BI Certified*,8,63.47,50.0,800.0,50.0
2024-06,Nigeria,Python Essentials*,17,82.16,70.59,1700.0,17.65
2024-06,Nigeria,Social Media Marketing Essentials*,5,99.62,100.0,500.0,0.0
2024-06,Nigeria,Software Testing - ISTQB Certified*,6,91.29,100.0,600.0,0.0
2024-06,Nigeria,UX & UI Design*,17,89.35,88.24,1700.0,11.76
2024-06,Nigeria,Web Development Essentials*,38,92.34,89.47,3800.0,7.89
2024-06,Senegal,Cyber Security Bootcamp: Certified CompTIA Security+ 701*,18,83.98,61.11,1800.0,5.56
2024-06,Senegal,Data Analytics - Microsoft Power BI Certified*,16,73.49,43.75,1600.0,25.0
